restaurante_id,nombre,direccion,telefono,id_administrador
1,Elorza & Asociados S.L.L.,"Plaza Borja Bayo 31 Apt. 90 , Huesca, 34682",+34981 78 82 03,1
2,Distribuciones SIS S.L.U.,"Calle de Adelardo Manso 7, Pontevedra, 35858",+34 843 513 562,1
3,Fábrica Bolaños S.L.,"Avenida Remedios Matas 27 Puerta 9 , Cáceres, 45368",+34 974683966,1
4,Distribuciones Españolas S.L.,"Paseo de Edelmira Flores 2, Navarra, 33045",+34921 25 77 57,1
5,Cándida Amo Burgos S.Com.,"Avenida de Danilo Cuéllar 83, La Coruña, 39903",+34 873 86 37 89,1
6,Huguet y asociados S.A.,"Paseo Jordana Taboada 28 Piso 6 , Valencia, 18120",+34 901 32 59 04,1
7,Gálvez y Solé S.C.P,"Glorieta Purificación Alba 50, La Rioja, 33234",+34 871 822 958,1
8,Supermercados del Norte S.L.,"Vial Nayara Adán 28, Navarra, 46583",+34 919770173,1
9,Promociones Mascaró S.L.N.E,"Calle de Hugo Iborra 243, Lleida, 51462",+34 846497533,1
10,Roig y Jerez S.Coop.,"Rambla de Ester Ortuño 83 Apt. 29 , Albacete, 49225",+34886 980 754,1
11,Desarrollo XVYQ S.A.,"Acceso Darío Farré 89, Salamanca, 47465",+34847489536,1
12,Transportes Rivero S.Coop.,"Rambla de Amaya Elías 25 Apt. 64 , Vizcaya, 23409",+34 875 00 16 81,1
13,Supermercados del Norte S.Coop.,"Calle Visitación Fuente 1, Málaga, 18030",+34827 140 436,1
14,Hnos Ibañez S.Coop.,"Rambla de Martín Montesinos 2, Zamora, 51995",+34984381555,1
15,Pons y asociados S.L.L.,"Alameda Néstor Gual 193 Apt. 01 , Las Palmas, 43330",+34 943 58 79 08,1
16,Inversiones Río S.Com.,"Calle Jessica Jove 702, Lleida, 22577",+34972 915 463,1
17,Banca Privada Cadenas & Asociados S.L.,"Calle de Tristán Serna 906, Granada, 02118",+34877 78 73 08,1
18,Banca Privada PO S.L.L.,"Cañada Alejo Alcalá 282, Cáceres, 15603",+34 980590295,1
19,Losada y Tudela S.L.,"Callejón de Eliseo Ribas 95, Asturias, 06342",+34 867 16 61 51,1
20,Romero y Sola S.Coop.,"Rambla Jose Miguel Andres 66 Piso 4 , La Rioja, 25023",+34 878065399,1
