pedido_id,cliente_id,restaurante_id,producto_id,fecha_id,estado_pedido,cantidad,monto_total
1,169,6,21,340,pendiente,1,10.38
2,146,19,51,25,cancelado,3,30.21
3,122,12,77,456,preparando,2,20.88
4,150,7,65,20,pendiente,4,51.24
5,58,9,23,36,completado,1,17.05
6,37,1,85,606,preparando,1,10.69
7,48,16,18,2,cancelado,3,44.43
8,100,4,97,155,pendiente,3,49.11
9,47,19,31,7,cancelado,3,35.55
10,169,5,59,590,completado,4,25.88
11,167,20,29,626,completado,2,18.82
12,75,2,10,581,pendiente,1,5.65
13,158,16,33,144,completado,1,14.18
14,79,1,78,515,preparando,3,37.05
15,49,10,89,536,preparando,1,9.75
16,31,13,29,628,preparando,3,28.23
17,80,11,33,379,completado,1,14.18
18,51,8,28,554,completado,2,6.38
19,141,19,63,350,completado,3,16.86
20,109,13,17,176,pendiente,2,26.78
21,81,16,66,496,preparando,4,76.96
22,103,3,50,459,pendiente,4,62.0
23,127,19,84,193,pendiente,3,50.04
24,194,13,54,690,cancelado,1,13.63
25,34,11,94,716,pendiente,2,13.42
26,198,11,92,399,completado,3,41.88
27,98,8,100,150,preparando,4,77.28
28,68,7,43,240,completado,1,17.51
29,178,6,65,302,completado,2,25.62
30,129,16,75,443,cancelado,4,67.48
31,135,17,49,477,cancelado,2,25.18
32,88,12,48,293,completado,4,46.48
33,98,4,40,616,preparando,4,39.0
34,138,9,23,483,cancelado,4,68.2
35,76,10,89,172,completado,3,29.25
36,27,8,78,510,completado,1,12.35
37,33,3,40,391,cancelado,4,39.0
38,100,2,71,268,pendiente,1,9.36
39,75,9,82,683,pendiente,2,35.34
40,131,18,55,619,preparando,1,7.29
41,89,3,8,465,preparando,1,16.85
42,151,9,43,170,preparando,2,35.02
43,148,11,43,476,pendiente,1,17.51
44,175,8,98,447,completado,4,62.0
45,20,20,30,158,preparando,3,11.79
46,75,18,78,261,preparando,3,37.05
47,55,1,22,662,cancelado,4,65.72
48,164,5,87,367,pendiente,1,11.68
49,102,12,10,92,cancelado,1,5.65
50,115,13,85,470,pendiente,3,32.07
51,17,18,44,276,cancelado,1,12.82
52,113,9,26,612,completado,2,20.16
53,19,4,12,117,pendiente,3,32.61
54,61,16,90,216,preparando,3,34.35
55,182,2,76,590,completado,4,13.48
56,145,8,58,287,pendiente,4,54.88
