y,x,street_count,highway,railway,geometry
9.8109473,-83.7050688,3,,,POINT (-83.7050688 9.8109473)
9.8118621,-83.7038172,3,,,POINT (-83.7038172 9.8118621)
9.8117089,-83.7027305,4,,,POINT (-83.7027305 9.8117089)
9.8112416,-83.7032942,4,,,POINT (-83.7032942 9.8112416)
9.8134515,-83.7046613,4,,,POINT (-83.7046613 9.8134515)
9.8154899,-83.7001943,3,,,POINT (-83.7001943 9.8154899)
9.8185871,-83.6992626,3,,,POINT (-83.6992626 9.8185871)
9.831031,-83.6894717,3,,,POINT (-83.6894717 9.831031)
9.8232149,-83.557165,5,,,POINT (-83.557165 9.8232149)
9.8394659,-83.5788543,3,,,POINT (-83.5788543 9.8394659)
9.8397893,-83.5797252,3,,,POINT (-83.5797252 9.8397893)
9.8398116,-83.5806318,3,,,POINT (-83.5806318 9.8398116)
9.8128527,-83.7026685,3,,,POINT (-83.7026685 9.8128527)
9.8120515,-83.7030404,3,,,POINT (-83.7030404 9.8120515)
9.8183608,-83.7000797,3,,,POINT (-83.7000797 9.8183608)
9.8252975,-83.5047385,3,,,POINT (-83.5047385 9.8252975)
9.8171103,-83.456882,3,,,POINT (-83.456882 9.8171103)
9.82899,-83.4703113,3,,,POINT (-83.4703113 9.82899)
9.8055566,-83.6950253,3,,,POINT (-83.6950253 9.8055566)
9.8063055,-83.7042448,3,,,POINT (-83.7042448 9.8063055)
9.8065081,-83.7037833,3,,,POINT (-83.7037833 9.8065081)
9.8096306,-83.6967926,3,,,POINT (-83.6967926 9.8096306)
9.8105267,-83.6940608,1,,,POINT (-83.6940608 9.8105267)
9.8105851,-83.6994746,3,,,POINT (-83.6994746 9.8105851)
9.8108297,-83.69478,3,,,POINT (-83.69478 9.8108297)
9.8112868,-83.7050381,3,,,POINT (-83.7050381 9.8112868)
9.8118393,-83.6980993,3,,,POINT (-83.6980993 9.8118393)
9.8119322,-83.6982109,3,,,POINT (-83.6982109 9.8119322)
9.8125557,-83.7016657,3,,,POINT (-83.7016657 9.8125557)
9.8129635,-83.7010931,4,,,POINT (-83.7010931 9.8129635)
9.8131956,-83.7019023,3,,,POINT (-83.7019023 9.8131956)
9.8134203,-83.701272,3,,,POINT (-83.701272 9.8134203)
9.8146412,-83.702855,3,,,POINT (-83.702855 9.8146412)
9.8149096,-83.7023148,3,,,POINT (-83.7023148 9.8149096)
9.813267,-83.7016931,3,,,POINT (-83.7016931 9.813267)
9.8139266,-83.6998676,3,,,POINT (-83.6998676 9.8139266)
9.8140546,-83.699772,3,,,POINT (-83.699772 9.8140546)
9.8135788,-83.7008073,3,,,POINT (-83.7008073 9.8135788)
9.8216345,-83.55481,3,,,POINT (-83.55481 9.8216345)
9.8198423,-83.5542373,3,,,POINT (-83.5542373 9.8198423)
9.8132351,-83.5508377,3,,,POINT (-83.5508377 9.8132351)
9.8127199,-83.55157,3,,,POINT (-83.55157 9.8127199)
9.8105152,-83.5502192,1,,,POINT (-83.5502192 9.8105152)
9.8113434,-83.5529828,3,,,POINT (-83.5529828 9.8113434)
9.8121777,-83.5537928,1,,,POINT (-83.5537928 9.8121777)
9.8101985,-83.5539779,3,,,POINT (-83.5539779 9.8101985)
9.809698,-83.5533334,1,,,POINT (-83.5533334 9.809698)
9.8115872,-83.5527063,3,,,POINT (-83.5527063 9.8115872)
9.8107356,-83.5520812,1,,,POINT (-83.5520812 9.8107356)
9.8226442,-83.5564172,3,,,POINT (-83.5564172 9.8226442)
9.8222207,-83.5558527,3,,,POINT (-83.5558527 9.8222207)
9.8230588,-83.5589083,3,,,POINT (-83.5589083 9.8230588)
9.8235797,-83.563377,3,,,POINT (-83.563377 9.8235797)
9.8171984,-83.5655746,3,,,POINT (-83.5655746 9.8171984)
9.8132847,-83.5646359,1,,,POINT (-83.5646359 9.8132847)
9.8148118,-83.5663046,3,,,POINT (-83.5663046 9.8148118)
9.8406178,-83.5809809,3,,,POINT (-83.5809809 9.8406178)
9.8408485,-83.5812576,3,,,POINT (-83.5812576 9.8408485)
9.8170476,-83.4570924,3,,,POINT (-83.4570924 9.8170476)
9.8135286,-83.4574388,3,,,POINT (-83.4574388 9.8135286)
9.8267623,-83.4410129,3,,,POINT (-83.4410129 9.8267623)
9.8089408,-83.4514393,3,,,POINT (-83.4514393 9.8089408)
9.8181302,-83.4543804,3,,,POINT (-83.4543804 9.8181302)
9.8154453,-83.452498,1,,,POINT (-83.452498 9.8154453)
9.8268948,-83.440915,3,,,POINT (-83.440915 9.8268948)
9.798869,-83.3607177,1,,,POINT (-83.3607177 9.798869)
9.8039511,-83.4453418,3,,,POINT (-83.4453418 9.8039511)
9.8023128,-83.4397752,3,,,POINT (-83.4397752 9.8023128)
9.7941723,-83.4288816,3,,,POINT (-83.4288816 9.7941723)
9.7952697,-83.4272947,1,,,POINT (-83.4272947 9.7952697)
9.7816034,-83.4088965,3,,,POINT (-83.4088965 9.7816034)
9.7822765,-83.4049083,1,,,POINT (-83.4049083 9.7822765)
9.7752864,-83.4136233,1,,,POINT (-83.4136233 9.7752864)
9.8279639,-83.5103416,3,,,POINT (-83.5103416 9.8279639)
9.8278082,-83.5698491,3,,,POINT (-83.5698491 9.8278082)
9.8292609,-83.6779125,3,,,POINT (-83.6779125 9.8292609)
9.798557,-83.6962584,3,,,POINT (-83.6962584 9.798557)
9.7923774,-83.6944184,3,,,POINT (-83.6944184 9.7923774)
9.7835826,-83.6890143,1,,,POINT (-83.6890143 9.7835826)
9.8119238,-83.4563717,3,,,POINT (-83.4563717 9.8119238)
9.8096046,-83.4596795,1,,,POINT (-83.4596795 9.8096046)
9.8038935,-83.4436922,3,,,POINT (-83.4436922 9.8038935)
9.8022597,-83.4343917,1,,,POINT (-83.4343917 9.8022597)
9.8010062,-83.4431563,1,,,POINT (-83.4431563 9.8010062)
9.812136,-83.5375026,3,,,POINT (-83.5375026 9.812136)
9.8137605,-83.5395487,3,,,POINT (-83.5395487 9.8137605)
9.8130749,-83.6990619,1,,,POINT (-83.6990619 9.8130749)
9.8083929,-83.6955891,3,,,POINT (-83.6955891 9.8083929)
9.8097124,-83.6957987,1,,,POINT (-83.6957987 9.8097124)
9.812753,-83.69652,3,,,POINT (-83.69652 9.812753)
9.8138309,-83.6977937,1,,,POINT (-83.6977937 9.8138309)
9.8057152,-83.6949817,3,,,POINT (-83.6949817 9.8057152)
9.808466,-83.695661,3,,,POINT (-83.695661 9.808466)
9.7985633,-83.6978938,3,,,POINT (-83.6978938 9.7985633)
9.8254374,-83.6594129,3,,,POINT (-83.6594129 9.8254374)
9.816171,-83.6540397,3,,,POINT (-83.6540397 9.816171)
